node_name,event_type
Node4338,Speciation
Node4339,Speciation
Node4328,Speciation
Node4329,Speciation
Node4336,Speciation
Node4337,Speciation
Node4330,Speciation
Node4331,Speciation
Node4332,Speciation
Node4333,Speciation
Node4334,Speciation
Node4335,Speciation
Node4350,Speciation
Node4364,Speciation
Node4365,Speciation
Node4366,Speciation
Node4367,Speciation
Node4368,Speciation
Node4351,Speciation
Node4360,Speciation
Node4361,Speciation
Node4362,Speciation
Node4363,Speciation
Node4352,Speciation
Node4353,Speciation
Node4354,Speciation
Node4355,Speciation
Node4357,Speciation
Node4358,Speciation
Node4356,Speciation
Node4359,Speciation
Node4369,Speciation
Node4370,Speciation
Node4371,Speciation
Node4372,Speciation
Node4373,Speciation
Node4374,Speciation
Node4375,Speciation
Node4181,Speciation
Node4182,Speciation
Node4183,Speciation
Node4184,Speciation
Node4185,Speciation
Node4186,Speciation
Node4191,Speciation
Node4187,Speciation
Node4188,Speciation
Node4189,Duplication
Node4190,Speciation
Node4192,Speciation
Node4193,Speciation
Node4194,Speciation
Node4217,Speciation
Node4195,Speciation
Node4196,Speciation
Node4216,Speciation
Node4197,Speciation
Node4202,Speciation
Node4214,Speciation
Node4215,Speciation
Node4203,Speciation
Node4204,Speciation
Node4205,Speciation
Node4206,Speciation
Node4207,Speciation
Node4208,Speciation
Node4212,Speciation
Node4213,Speciation
Node4209,Speciation
Node4210,Speciation
Node4211,Speciation
Node4198,Speciation
Node4199,Speciation
Node4200,Speciation
Node4201,Speciation
Node4218,Speciation
Node4219,Speciation
Node4224,Speciation
Node4225,Speciation
Node4220,Speciation
Node4221,Speciation
Node4222,Speciation
Node4223,Speciation
Node4226,Speciation
Node4227,Speciation
Node4228,Speciation
Node4229,Speciation
Node4230,Speciation
Node4240,Speciation
Node4231,Speciation
Node4232,Speciation
Node4235,Speciation
Node4233,Speciation
Node4234,Speciation
Node4236,Speciation
Node4237,Speciation
Node4238,Speciation
Node4239,Speciation
Node4241,Speciation
Node4242,Speciation
Node4243,Speciation
Node4244,Speciation
Node4245,Speciation
Node4246,Speciation
Node4247,Speciation
Node4248,Speciation
Node4249,Speciation
Node4250,Speciation
Node5291,Speciation
Node5292,Speciation
Node5347,Speciation
Node5348,Speciation
Node5293,Speciation
Node5342,Speciation
Node5343,Speciation
Node5344,Speciation
Node5345,Speciation
Node5346,Speciation
Node5294,Duplication
Node5295,Speciation
Node5299,Speciation
Node5307,Speciation
Node5308,Speciation
Node5309,Speciation
Node5320,Speciation
Node5324,Speciation
Node5325,Speciation
Node5326,Duplication
Node5327,Speciation
Node5328,Speciation
Node5329,Speciation
Node5330,Speciation
Node5331,Speciation
Node5332,Speciation
Node5333,Speciation
Node5321,Speciation
Node5322,Speciation
Node5323,Speciation
Node5310,Speciation
Node5311,Speciation
Node5312,Speciation
Node5313,Speciation
Node5314,Speciation
Node5315,Speciation
Node5316,Speciation
Node5317,Speciation
Node5318,Speciation
Node5319,Speciation
Node5334,Speciation
Node5335,Speciation
Node5337,Speciation
Node5336,Speciation
Node5300,Speciation
Node5305,Speciation
Node5306,Speciation
Node5301,Duplication
Node5302,Speciation
Node5303,Speciation
Node5304,Speciation
Node5296,Speciation
Node5297,Duplication
Node5298,Speciation
Node5338,Speciation
Node5339,Speciation
Node5340,Speciation
Node5341,Speciation
Node5349,Speciation
Node5350,Speciation
Node5351,Speciation
Node5352,Speciation
Node5353,Duplication
Node5354,Speciation
Node5487,Duplication
Node5538,Speciation
Node5581,Speciation
Node5583,Speciation
Node5582,Speciation
Node5539,Speciation
Node5540,Speciation
Node5568,Speciation
Node5569,Speciation
Node5541,Speciation
Node5562,Speciation
Node5563,Speciation
Node5564,Speciation
Node5565,Speciation
Node5566,Speciation
Node5567,Speciation
Node5542,Speciation
Node5561,Speciation
Node5543,Speciation
Node5544,Speciation
Node5545,Speciation
Node5546,Speciation
Node5547,Speciation
Node5548,Speciation
Node5549,Speciation
Node5550,Speciation
Node5551,Duplication
Node5552,Speciation
Node5553,Speciation
Node5554,Speciation
Node5555,Speciation
Node5556,Speciation
Node5557,Speciation
Node5558,Speciation
Node5559,Speciation
Node5560,Speciation
Node5570,Speciation
Node5571,Speciation
Node5572,Speciation
Node5575,Speciation
Node5573,Speciation
Node5574,Speciation
Node5576,Speciation
Node5577,Speciation
Node5578,Speciation
Node5579,Speciation
Node5580,Speciation
Node5488,Speciation
Node5512,Speciation
Node5513,Speciation
Node5526,Speciation
Node5533,Speciation
Node5527,Speciation
Node5528,Speciation
Node5529,Speciation
Node5530,Speciation
Node5531,Speciation
Node5532,Speciation
Node5514,Speciation
